Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Nordeste,  6.965.521 ,  6.820.975 ,  7.049.578 ,  6.773.402 ,  7.055.062 ,  6.624.438 ,  6.672.154 ,  6.545.284 ,  6.633.387 ,  7.138.364 ,  7.323.640 ,  7.536.744 ,  83.138.548 
Sudeste,  20.965.938 ,  20.584.521 ,  20.626.330 ,  19.827.659 ,  20.187.003 ,  18.980.780 ,  18.699.588 ,  18.900.145 ,  19.292.022 ,  20.170.884 ,  20.623.039 ,  19.593.151 ,  238.451.059 
Sul,  8.000.635 ,  8.131.096 ,  7.767.428 ,  7.470.886 ,  7.374.881 ,  7.058.334 ,  7.081.185 ,  7.169.974 ,  7.031.953 ,  7.346.734 ,  7.520.830 ,  7.467.002 ,  89.420.939 
Centro-Oeste,  3.151.911 ,  3.206.029 ,  3.104.065 ,  3.083.639 ,  3.174.962 ,  3.057.549 ,  3.072.499 ,  3.144.928 ,  3.366.802 ,  3.446.465 ,  3.399.533 ,  3.210.248 ,  38.418.628 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  235.374 ,  223.485 ,  244.515 ,  253.060 ,  243.778 ,  227.972 ,  238.645 ,  234.551 ,  248.732 ,  264.261 ,  251.565 ,  248.470 ,  2.914.410 
Norte,  2.601.234 ,  2.473.879 ,  2.634.746 ,  2.576.790 ,  2.739.375 ,  2.803.120 ,  2.883.806 ,  2.970.444 ,  2.986.743 ,  3.033.103 ,  3.022.024 ,  3.103.353 ,  33.828.617 
Nordeste,  6.382.005 ,  6.247.356 ,  6.466.787 ,  6.199.701 ,  6.441.791 ,  6.001.112 ,  6.040.693 ,  5.897.532 ,  5.971.396 ,  6.471.428 ,  6.644.637 ,  6.840.622 ,  75.605.061 
Sudeste/C.Oeste,  24.427.941 ,  24.088.184 ,  24.034.515 ,  23.222.958 ,  23.680.825 ,  22.350.247 ,  22.101.589 ,  22.369.044 ,  23.023.366 ,  23.952.252 ,  24.353.417 ,  23.142.450 ,  280.746.788 
Sul,  8.000.635 ,  8.131.096 ,  7.767.428 ,  7.470.886 ,  7.374.881 ,  7.058.334 ,  7.081.185 ,  7.169.974 ,  7.031.953 ,  7.346.734 ,  7.520.830 ,  7.467.002 ,  89.420.939 
,,,,,,,,,,,,,
,2018,,,,,,,,,,,,
